Section,Parameter,Message Type,Control Number,Range,Default,Notes,,,,,,
Effects and EQ,EQ mid level,NRPN,0:107,0:127 (-64:63),64,(0),,,,,,
Effects and EQ,EQ treble frequency,NRPN,0:108,0:127,125,,,,,,,
Effects and EQ,EQ treble level,NRPN,0:109,0:127 (-64:63),64,(0),,,,,,
Effects and EQ,distortion type,NRPN,1:0,0:6,0,See Distortion Table,,,,,,
Effects and EQ,distortion compensation,NRPN,1:1,0:127,100,,,,,,,
Effects and EQ,chorus type,NRPN,1:24,0:1,1,0=Phaser  1=Chorus,,,,,,
Effects and EQ,chorus rate,NRPN,1:25,0:127,84,(20),,,,,,
Effects and EQ,chorus rate sync,NRPN,1:26,0:35,0,,,,,,,
Effects and EQ,chorus feedback,NRPN,1:27,0:127 (-64:63),74,(10),,,,,,
Effects and EQ,chorus mod depth,NRPN,1:28,0:127,64,,,,,,,
Effects and EQ,chorus delay,NRPN,1:29,0:127,64,,,,,,,
Mod Matrix,Mod matrix 1 source 1,NRPN,1:83,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,Mod matrix 1 source 2,NRPN,1:84,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 1 depth,NRPN,1:86,0:127 (-64:63),64,(0),,,,,,
Mod Matrix,mod matrix 1 destination,NRPN,1:87,0:17,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 2 source 1,NRPN,1:88,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 2 source 2,NRPN,1:89,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 2 depth,NRPN,1:91,0:127 (-64:63),64,(0),,,,,,
Mod Matrix,mod matrix 2 destination,NRPN,1:92,0:17,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 3 source 1,NRPN,1:93,0:12,0,,See Mod Matrix Table,,,,,
Mod Matrix,mod matrix 3 source 2,NRPN,1:94,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 3 depth,NRPN,1:96,0:127 (-64:63),64,(0),,,,,,
Mod Matrix,mod matrix 3 destination,NRPN,1:97,0:17,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 4 source 1,NRPN,1:98,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 4 source 2,NRPN,1:99,0:12,0,See Mod Matrix Table,,,,,,
